# Region        : all rock
# Cells         : 2500
# Volume        : 8.36684394e+00
# Time          	volAverage(T)
1000            	3.02979387e+02
2000            	3.07542344e+02
3000            	3.08397007e+02
4000            	3.08558235e+02
5000            	3.08588725e+02
6000            	3.08589926e+02
7000            	3.08589926e+02
8000            	3.08589926e+02
9000            	3.08589926e+02
10000           	3.08589926e+02
11000           	3.08589926e+02
12000           	3.08589926e+02
13000           	3.08589926e+02
14000           	3.08589926e+02
15000           	3.08589926e+02
16000           	3.08589926e+02
17000           	3.08589926e+02
18000           	3.08589926e+02
19000           	3.08589926e+02
20000           	3.08589926e+02
21000           	3.08589926e+02
22000           	3.08589926e+02
23000           	3.08589926e+02
24000           	3.08589926e+02
25000           	3.08589926e+02
26000           	3.08589926e+02
27000           	3.08589926e+02
28000           	3.08589926e+02
29000           	3.08589926e+02
30000           	3.08589926e+02
