# Region        : all rock
# Cells         : 16000
# Volume        : 8.36684390e+00
# Time          	volAverage(T)
1000            	2.86432118e+02
2000            	2.91973058e+02
3000            	2.96110017e+02
4000            	2.99224528e+02
5000            	3.01577453e+02
6000            	3.03358844e+02
7000            	3.04709509e+02
8000            	3.05734680e+02
9000            	3.06513412e+02
10000           	3.07105305e+02
11000           	3.07555401e+02
12000           	3.07897797e+02
13000           	3.08158344e+02
14000           	3.08356656e+02
15000           	3.08507630e+02
16000           	3.08622584e+02
17000           	3.08710126e+02
18000           	3.08776800e+02
19000           	3.08827586e+02
20000           	3.08866273e+02
21000           	3.08895746e+02
22000           	3.08918201e+02
23000           	3.08935311e+02
24000           	3.08948347e+02
25000           	3.08954055e+02
26000           	3.08954055e+02
27000           	3.08954055e+02
28000           	3.08954055e+02
29000           	3.08954055e+02
30000           	3.08954055e+02
